old	new	class	confidence	alt_body_count	replacements	files	notes
- Angl. Sax.	Angl. Sax.	spacing	high	310	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Angl. Sax.' body_n=310
- MS., MSS.	MS., MSS.	spacing	med	1	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='MS., MSS.' body_n=1
- rt., rts.	rt., rts.	spacing	med	1	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='rt., rts.' body_n=1
- Intens.	Intens.	spacing	high	545	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Intens.' body_n=545
- Prākṛit	Prākṛit	spacing	high	9	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Prākṛit' body_n=9
- accord.	accord.	spacing	high	7	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='accord.' body_n=7
- astrol.	astrol.	spacing	high	7	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='astrol.' body_n=7
- astron.	astron.	spacing	high	26	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='astron.' body_n=26
- compar.	compar.	spacing	high	70	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='compar.' body_n=70
- defect.	defect.	spacing	high	9	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='defect.' body_n=9
- explet.	explet.	spacing	med	1	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='explet.' body_n=1
- impers.	impers.	spacing	med	2	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='impers.' body_n=2
- mathem.	mathem.	spacing	high	5	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='mathem.' body_n=5
- nom. c.	nom. c.	spacing	high	9	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='nom. c.' body_n=9
- patron.	patron.	spacing	high	6	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='patron.' body_n=6
- pronom.	pronom.	spacing	high	40	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='pronom.' body_n=40
- superl.	superl.	spacing	high	82	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='superl.' body_n=82
- Armen.	Armen.	spacing	high	8	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Armen.' body_n=8
- Buddh.	Buddh.	spacing	med	2	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Buddh.' body_n=2
- Class.	Class.	spacing	high	43	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Class.' body_n=43
- Desid.	Desid.	spacing	high	719	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Desid.' body_n=719
- Ionic.	Ionic.	spacing	med	1	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Ionic.' body_n=1
- Naigh.	Naigh.	spacing	high	267	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Naigh.' body_n=267
- Pruss.	Pruss.	spacing	high	20	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Pruss.' body_n=20
- Sabin.	Sabin.	spacing	med	4	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Sabin.' body_n=4
- Sansk.	Sansk.	spacing	med	1	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Sansk.' body_n=1
- Schol.	Schol.	spacing	high	29	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Schol.' body_n=29
- dimin.	dimin.	spacing	med	3	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='dimin.' body_n=3
- epith.	epith.	spacing	med	4	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='epith.' body_n=4
- medic.	medic.	spacing	high	13	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='medic.' body_n=13
- subst.	subst.	spacing	high	7	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='subst.' body_n=7
- Arab.	Arab.	spacing	med	3	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Arab.' body_n=3
- B. R.	B. R.	spacing	high	21	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='B. R.' body_n=21
- Bret.	Bret.	spacing	med	2	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Bret.' body_n=2
- Caus.	Caus.	spacing	high	1956	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Caus.' body_n=1956
- Gael.	Gael.	spacing	med	2	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Gael.' body_n=2
- Germ.	Germ.	spacing	high	649	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Germ.' body_n=649
- Goth.	Goth.	spacing	high	441	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Goth.' body_n=441
- Gram.	Gram.	spacing	high	182	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Gram.' body_n=182
- Hind.	Hind.	spacing	high	19	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Hind.' body_n=19
- Icel.	Icel.	spacing	med	2	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Icel.' body_n=2
- Impf.	Impf.	spacing	high	75	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Impf.' body_n=75
- Impv.	Impv.	spacing	high	94	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Impv.' body_n=94
- Lett.	Lett.	spacing	high	13	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Lett.' body_n=13
- Lith.	Lith.	spacing	high	383	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Lith.' body_n=383
- Megh.	Megh.	spacing	med	2	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Megh.' body_n=2
- Pass.	Pass.	spacing	high	573	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Pass.' body_n=573
- Perf.	Perf.	spacing	high	106	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Perf.' body_n=106
- Pers.	Pers.	spacing	high	54	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Pers.' body_n=54
- Prep.	Prep.	spacing	high	31	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Prep.' body_n=31
- Pres.	Pres.	spacing	high	98	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Pres.' body_n=98
- Refl.	Refl.	spacing	med	1	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Refl.' body_n=1
- Russ.	Russ.	spacing	high	83	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Russ.' body_n=83
- Scot.	Scot.	spacing	high	12	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Scot.' body_n=12
- Slav.	Slav.	spacing	high	226	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Slav.' body_n=226
- anom.	anom.	spacing	high	29	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='anom.' body_n=29
- chap.	chap.	spacing	high	5	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='chap.' body_n=5
- comm.	comm.	spacing	med	2	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='comm.' body_n=2
- cons.	cons.	spacing	med	2	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='cons.' body_n=2
